objectid,park,cpd_bldg_name,match_quality,bldg_lat,bldg_lon,offset_m,edge_m,bldg_id,bldg_address,bldg_name,bldg_stories,footprint_area_sqft,candidates_in_range,provenance,source
25,MOORE (MAURICE),Moore Park Fieldhouse,address_exact,41.878051,-87.75274,1.8,0,361233,5085 W ADAMS ST,,1,2375.4,110,sourced,socrata_syp8-uezg@2026-09-14
26,MCKIERNAN (DAVID),McKiernan Park Fieldhouse,address_exact,41.698353,-87.702477,0.9,0,755180,10714 S SAWYER AVE,,1,1897.5,183,sourced,socrata_syp8-uezg@2026-09-14
28,WENTWORTH (JOHN),Warming Hut,largest_nearby,41.790217,-87.779884,58,35.5,498576,6325 W 56TH ST,,0,131423.6,62,sourced,socrata_syp8-uezg@2026-09-14
29,HIAWATHA,Comfort Station,address_exact,41.94329,-87.827023,0.8,0,197122,8000 W CORNELIA AVE,,0,2312.2,117,sourced,socrata_syp8-uezg@2026-09-14
30,METCALFE (RALPH),Comfort Station,address_exact,41.817946,-87.626765,1,0,430281,4210 S STATE ST,,0,1128.5,10,sourced,socrata_syp8-uezg@2026-09-14
31,COTTON TAIL,Shelter,containing,41.86209,-87.628974,0.5,0,374831,,,0,506.6,149,sourced,socrata_syp8-uezg@2026-09-14
32,FOSTER (J. FRANK),Southwest Shelter,containing,41.741721,-87.661051,1,0,650163,,,0,898.5,33,sourced,socrata_syp8-uezg@2026-09-14
33,LOYOLA,Farwell Avenue Breakwater Light,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
34,LINCOLN (ABRAHAM),Wilson Avenue Breakwater Light,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
35,LINCOLN (ABRAHAM),Montrose Beach Light,largest_nearby,41.964703,-87.635674,172,131.7,114825,,,0,10009.5,1,sourced,socrata_syp8-uezg@2026-09-14
36,LINCOLN (ABRAHAM),Belmont Harbor Inner Light,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
37,LINCOLN (ABRAHAM),North Avenue Jetty Light,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
38,JACKSON (ANDREW),South Shore Yacht Club,containing,41.779375,-87.579021,2.8,0,531319,,,0,4875.2,5,sourced,socrata_syp8-uezg@2026-09-14
39,JACKSON (ANDREW),Service Yard,address_exact,41.779791,-87.585342,43.5,0,528271,1625 E HAYES DR,,0,20127.5,2,sourced,socrata_syp8-uezg@2026-09-14
40,JACKSON (ANDREW),MSI - Henry Crown Space Center & Omnimax Theater,containing,41.790337,-87.581182,3.4,0,494237,,,0,26551.5,5,sourced,socrata_syp8-uezg@2026-09-14
41,GRANT (ULYSSES),Monroe Concession,largest_nearby,41.881233,-87.616017,92.2,69.7,357276,,,0,15024.5,3,sourced,socrata_syp8-uezg@2026-09-14
42,BURNHAM (DANIEL),,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
43,ADDAMS (JANE) MEML.,Shelter,largest_nearby,41.891521,-87.613101,88.6,53.8,815730,,LAKE POINT TOWER,0,96641.1,3,sourced,socrata_syp8-uezg@2026-09-14
44,LINCOLN (ABRAHAM),,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
45,LINCOLN (ABRAHAM),,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
46,LINCOLN (ABRAHAM),Diversey Harbor Building,largest_nearby,41.926472,-87.635057,211.1,153.7,821490,2430 N CANNON DR,PEGGY NOTEBART NATURE MUSEUM,0,45032,1,sourced,socrata_syp8-uezg@2026-09-14
47,LINCOLN (ABRAHAM),Diversey Harbor Comfort Station,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
48,JACKSON (ANDREW),Museum Court Comfort Station,containing,41.789556,-87.580227,0.9,0,497598,,,0,668.6,7,sourced,socrata_syp8-uezg@2026-09-14
49,SEWARD (WILLIAM),Clock Tower,largest_nearby,41.903477,-87.63968,45.2,15.7,891284,437 W DIVISION ST,,9,20260.5,8,sourced,socrata_syp8-uezg@2026-09-14
50,WASHINGTON (GEORGE),Comfort Station,largest_nearby,41.801391,-87.612278,207.8,146.4,460015,525-555 E 51ST ST,,0,62330.6,1,sourced,socrata_syp8-uezg@2026-09-14
51,MANDRAKE (HENRY BROWN),Comfort Station,largest_nearby,41.82426,-87.607592,106.9,83.5,424012,3858 S COTTAGE GROVE AVE,,0,19599.2,23,sourced,socrata_syp8-uezg@2026-09-14
52,UNITY,Shelter,largest_nearby,41.931251,-87.711534,131.9,110.9,851230,2758-2772 N MILWAUKEE AVE,,2,18641.6,191,sourced,socrata_syp8-uezg@2026-09-14
53,PARK NO. 538,Baseball Stadium at Devon & Kedzie,largest_nearby,41.997179,-87.709971,112,98.3,842670,3201-3215 W DEVON AVE,,0,6780.5,58,sourced,socrata_syp8-uezg@2026-09-14
54,LINCOLN (ABRAHAM),Caffe Oliva,largest_nearby,41.891521,-87.613101,183.7,147,815730,,LAKE POINT TOWER,0,96641.1,2,sourced,socrata_syp8-uezg@2026-09-14
55,LINCOLN (ABRAHAM),Oak Street Beachstro,largest_nearby,41.900413,-87.623526,200.9,139.2,326851,140 E WALTON PL,DRAKE HOTEL,13,63625,4,sourced,socrata_syp8-uezg@2026-09-14
56,WHITE (JESSE),Jesse White Community Center & Fieldhouse,largest_nearby,41.89725,-87.638337,91.9,71.1,874083,815-829 N SEDGWICK ST,,0,18121.2,19,sourced,socrata_syp8-uezg@2026-09-14
57,LINCOLN (ABRAHAM),North Pond,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
58,LINCOLN (ABRAHAM),Osterman Beach House,largest_nearby,41.985717,-87.652378,62.6,57.9,51614,,,0,784,1,sourced,socrata_syp8-uezg@2026-09-14
59,LINCOLN (ABRAHAM),"LP Zoo - Chimpanzees, Gorillas",address_exact,41.920214,-87.632022,2,0,835533,2101 N LINCOLN PARK WEST,,0,23185.1,9,sourced,socrata_syp8-uezg@2026-09-14
60,LINCOLN (ABRAHAM),Webster Comfort Station,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
61,LINCOLN (ABRAHAM),Montrose Stone Comfort Station,containing,41.964703,-87.635674,33.5,0,114825,,,0,10009.5,3,sourced,socrata_syp8-uezg@2026-09-14
62,LINCOLN (ABRAHAM),Oak Street Comfort Station,largest_nearby,41.900413,-87.623525,208,149.1,326851,140 E WALTON PL,DRAKE HOTEL,13,63625,3,sourced,socrata_syp8-uezg@2026-09-14
63,JONES (MARY RICHARDSON),Shelter,largest_nearby,41.866734,-87.629017,41.7,10.9,371557,1212 S PLYMOUTH CT,,2,30322.4,239,sourced,socrata_syp8-uezg@2026-09-14
64,LINCOLN (ABRAHAM),LP Zoo - Main Barn,containing,41.917007,-87.633675,1.2,0,287149,,LINCOLN PARK,0,6116.8,12,sourced,socrata_syp8-uezg@2026-09-14
65,LINCOLN (ABRAHAM),LP Zoo - Zoo Gateway Pavilion,containing,41.922095,-87.632871,1.1,0,270780,,,0,217.4,17,sourced,socrata_syp8-uezg@2026-09-14
66,LINCOLN (ABRAHAM),Montrose Beach House Concession,containing,41.964703,-87.635674,4.8,0,114825,,,0,10009.5,3,sourced,socrata_syp8-uezg@2026-09-14
67,LINCOLN (ABRAHAM),LP Zoo - Dairy Barn,containing,41.917725,-87.633632,1.3,0,284971,,LINCOLN PARK,0,4527.5,8,sourced,socrata_syp8-uezg@2026-09-14
68,KOSCIUSZKO (THADEUZ),Kosciuszko Park Fieldhouse,address_exact,41.930815,-87.723831,15.2,0,245160,2732 N AVERS AVE,,0,11428.4,134,sourced,socrata_syp8-uezg@2026-09-14
69,BLACKHAWK,Blackhawk Park Fieldhouse,address_exact,41.92287,-87.751996,10.7,0,269929,2318 N LAVERGNE AVE,,1,13995.8,125,sourced,socrata_syp8-uezg@2026-09-14
70,LINCOLN (ABRAHAM),Nature Boardwalk Peoples Gas Education Pavilion,largest_nearby,41.919237,-87.632363,154.9,123,279132,,LINCOLN PARK,0,9364.6,9,sourced,socrata_syp8-uezg@2026-09-14
71,LINCOLN (ABRAHAM),Rustic Shelter,largest_nearby,41.928909,-87.639891,115,91.4,893874,,,0,8486.9,6,sourced,socrata_syp8-uezg@2026-09-14
72,PARK NO. 517,Pergola,largest_nearby,41.990546,-87.654777,117.4,77.2,41568,5959 N SHERIDAN RD,,0,28706.4,35,sourced,socrata_syp8-uezg@2026-09-14
73,COLUMBUS (CHRISTOPHER),Club House,containing,41.876289,-87.769331,1.9,0,363372,,,0,1149.5,4,sourced,socrata_syp8-uezg@2026-09-14
74,COLUMBUS (CHRISTOPHER),Athletic Building,containing,41.873902,-87.76617,2.9,0,365617,500 S CENTRAL AVE,,0,35167.1,6,sourced,socrata_syp8-uezg@2026-09-14
75,CONNORS (WILLIAM),Argo Tea Cafe,largest_nearby,41.899571,-87.626452,115.7,81.2,837711,901 N RUSH ST,,0,42324,27,sourced,socrata_syp8-uezg@2026-09-14
76,LINCOLN (ABRAHAM),Gazebo,largest_nearby,41.900413,-87.623526,87.1,53.2,326851,140 E WALTON PL,DRAKE HOTEL,13,63625,12,sourced,socrata_syp8-uezg@2026-09-14
